1	1	1	1	1	1	1	8	8	8	8	8	8	8	1	8	1	1	1	1	6	6	6	8
2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	4	4	4
-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2	-1	-1	-1	-1	-1	-1	-1
2	2	2	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1
-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	2	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
9	2	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
9	9	9	9	9	9	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
9	9	9	6	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
2	2	2	2	11	2	2	2	2	2	2	2	2	11	2	2	2	2	2	2	2	2	6	2
5	2	2	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5	5	5	5	5	5
5	2	2	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5	5	5	5	5	5
9	9	9	9	9	6	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	9	9	9	9	9	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
9	9	9	9	9	9	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1
